budget_tokens,ci_high,ci_low,dataset,mean_answer_logprob_delta,n_unique_test_identities,ties,wins
64,0.7308724758595646,-0.33655650047454194,hotpotqa,0.1968314337058806,71,11,36
128,0.8379095876694355,-0.0908280246222103,hotpotqa,0.359143664824291,71,25,33
192,0.5229482327863364,-0.06013358594246314,hotpotqa,0.2267532963568056,71,13,31
64,0.7134879470344572,-0.06508622178955682,qasper,0.30915363251216826,63,22,26
128,0.27859394652029823,-0.19814004053672155,qasper,0.024461540910932753,63,36,17
192,0.41271337898714194,-0.023631800048881102,qasper,0.1636701070127033,63,27,23
