ci_high,ci_low,dataset,max_incremental_r2,mean_incremental_r2,min_incremental_r2,positive_seeds,seeds
-0.08079129855402667,-0.5967347062603838,hotpotqa,-0.08079129855402667,-0.398036265487349,-0.5967347062603838,0,3
-0.5204408956036268,-249.0787653514548,qasper,-0.5204408956036268,-83.65227809817216,-249.07876535145482,0,3
