architecture,candidate_chain_first,example_id,heads,layers,model_seed,position_mode,positive,required_path,split,target_margin,template_id,top1_correct,total_depth,tree_seed,width
L4_W64_H4,0,validation:d1:t0:paligned:tree307:i10013,4,4,11,aligned,1,1,validation,0.023977279663085938,0,1,3,307,64
L4_W64_H4,1,validation:d1:t0:paligned:tree307:i10014,4,4,11,aligned,0,1,validation,0.03810310363769531,0,1,3,307,64
L4_W64_H4,1,validation:d1:t0:paligned:tree307:i10015,4,4,11,aligned,1,1,validation,0.028215408325195312,0,1,3,307,64
L4_W64_H4,1,validation:d1:t0:prandomized:tree101:i10003,4,4,11,randomized,1,1,validation,-0.027341842651367188,0,0,3,101,64
L4_W64_H4,0,validation:d1:t0:prandomized:tree211:i10000,4,4,11,randomized,0,1,validation,0.05223655700683594,0,1,3,211,64
L4_W64_H4,0,validation:d1:t0:prandomized:tree211:i10004,4,4,11,randomized,0,1,validation,-0.004993438720703125,0,0,3,211,64
L4_W64_H4,1,validation:d1:t0:prandomized:tree211:i10010,4,4,11,randomized,0,1,validation,-0.013004302978515625,0,0,3,211,64
L4_W64_H4,0,validation:d1:t0:prandomized:tree307:i10000,4,4,11,randomized,0,1,validation,0.08034706115722656,0,1,3,307,64
L4_W64_H4,1,validation:d1:t0:prandomized:tree307:i10002,4,4,11,randomized,0,1,validation,0.0317230224609375,0,1,3,307,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10000,4,4,11,aligned,0,1,validation,0.1261272430419922,1,1,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10001,4,4,11,aligned,1,1,validation,-0.052135467529296875,1,0,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10002,4,4,11,aligned,0,1,validation,0.0349273681640625,1,1,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10003,4,4,11,aligned,1,1,validation,-0.022569656372070312,1,0,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10004,4,4,11,aligned,0,1,validation,-0.08956146240234375,1,0,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10005,4,4,11,aligned,1,1,validation,-0.01235198974609375,1,0,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10006,4,4,11,aligned,0,1,validation,0.08077239990234375,1,1,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10007,4,4,11,aligned,1,1,validation,-0.08141326904296875,1,0,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10008,4,4,11,aligned,0,1,validation,0.018108367919921875,1,1,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10009,4,4,11,aligned,1,1,validation,-0.017942428588867188,1,0,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10010,4,4,11,aligned,0,1,validation,0.09283256530761719,1,1,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10011,4,4,11,aligned,1,1,validation,-0.12780189514160156,1,0,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10012,4,4,11,aligned,0,1,validation,0.06428909301757812,1,1,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree101:i10013,4,4,11,aligned,1,1,validation,0.01508331298828125,1,1,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10014,4,4,11,aligned,0,1,validation,0.07908248901367188,1,1,3,101,64
L4_W64_H4,1,validation:d1:t1:paligned:tree101:i10015,4,4,11,aligned,1,1,validation,0.04208564758300781,1,1,3,101,64
L4_W64_H4,0,validation:d1:t1:paligned:tree211:i10000,4,4,11,aligned,0,1,validation,0.04875755310058594,1,1,3,211,64
L4_W64_H4,0,validation:d1:t1:paligned:tree211:i10001,4,4,11,aligned,1,1,validation,-0.04817771911621094,1,0,3,211,64
L4_W64_H4,1,validation:d1:t1:paligned:tree211:i10002,4,4,11,aligned,0,1,validation,-0.013833999633789062,1,0,3,211,64
L4_W64_H4,1,validation:d1:t1:paligned:tree211:i10003,4,4,11,aligned,1,1,validation,0.016336441040039062,1,1,3,211,64
L4_W64_H4,0,validation:d1:t1:paligned:tree211:i10004,4,4,11,aligned,0,1,validation,-0.0063190460205078125,1,0,3,211,64
L4_W64_H4,0,validation:d1:t1:paligned:tree211:i10005,4,4,11,aligned,1,1,validation,0.02175140380859375,1,1,3,211,64
L4_W64_H4,1,validation:d1:t1:paligned:tree211:i10006,4,4,11,aligned,0,1,validation,-0.0037403106689453125,1,0,3,211,64
L4_W64_H4,1,validation:d1:t1:paligned:tree211:i10007,4,4,11,aligned,1,1,validation,-0.09896087646484375,1,0,3,211,64
L4_W64_H4,0,validation:d1:t1:paligned:tree211:i10008,4,4,11,aligned,0,1,validation,-0.01416778564453125,1,0,3,211,64
L4_W64_H4,0,validation:d1:t1:paligned:tree211:i10009,4,4,11,aligned,1,1,validation,0.0096435546875,1,1,3,211,64
L4_W64_H4,1,validation:d1:t1:paligned:tree211:i10010,4,4,11,aligned,0,1,validation,-0.020427703857421875,1,0,3,211,64
L4_W64_H4,1,validation:d1:t1:paligned:tree211:i10011,4,4,11,aligned,1,1,validation,-0.012819290161132812,1,0,3,211,64
L4_W64_H4,0,validation:d1:t1:paligned:tree211:i10012,4,4,11,aligned,0,1,validation,-0.008405685424804688,1,0,3,211,64
L4_W64_H4,0,validation:d1:t1:paligned:tree211:i10013,4,4,11,aligned,1,1,validation,-0.05413246154785156,1,0,3,211,64
